uid,sid
89,19
90,78
90,46
90,10
90,152
90,41
90,93
90,117
90,66
90,38
90,62
91,65
91,86
91,73
91,33
91,93
91,13
91,81
91,36
91,52
91,16
91,68
91,28
91,106
91,17
91,136
91,30
91,97
92,64
92,141
92,21
92,84
92,80
92,34
92,66
92,71
92,100
92,112
92,130
93,20
93,46
93,83
93,54
93,91
93,123
93,75
93,12
93,93
93,14
93,6
93,87
93,37
93,9
93,18
93,30
93,19
93,97
93,88
94,32
94,123
94,84
94,85
94,50
94,6
94,16
94,9
94,18
94,19
94,62
94,97
94,88
95,74
95,80
95,75
95,81
95,100
95,87
95,59
95,112
95,39
95,131
95,62
96,63
96,73
96,98
96,33
96,99
96,56
96,74
96,66
96,101
96,103
97,98
97,24
97,153
97,84
97,109
97,95
97,58
97,17
97,126
97,97
98,65
98,32
98,98
98,79
98,109
98,12
98,110
98,6
98,95
98,101
98,103
98,106
98,112
98,126
98,136
99,63
99,45
99,33
99,79
99,13
99,128
99,38
99,111
99,17
99,19
99,97
100,65
100,90
100,4
100,134
100,93
100,117
100,66
100,27
100,60
100,89
101,82
101,21
101,32
101,142
101,84
101,70
101,36
101,71
101,37
101,112
101,115
102,82
102,83
102,1
102,2
102,99
102,85
102,12
102,6
102,124
102,101
102,16
102,28
102,103
102,125
102,18
102,136
102,19
102,97
103,21
103,149
103,117
103,94
103,95
103,26
103,27
103,101
103,120
103,138
103,89
103,62
104,21
104,4
104,5
104,85
104,14
104,67
104,37
104,8
104,103
104,9
104,17
104,136
105,63
105,33
105,56
105,74
105,38
105,103
105,59
105,18
105,62
105,31
106,0
106,20
106,22
106,85
106,50
106,93
106,7
106,28
106,53
106,39
106,17
106,31
107,63
107,0
107,45
107,78
107,65
107,90
107,73
107,32
107,83
107,55
107,2
107,116
107,153
107,25
107,91
107,4
107,92
107,149
107,134
107,75
107,93
107,51
107,76
107,13
107,66
107,118
107,77
107,67
107,7
107,38
107,114
107,42
107,28
107,103
107,59
107,120
107,105
107,136
107,131
107,31
107,69
108,10
108,122
108,55
108,11
108,85
108,12
108,51
108,118
108,14
108,35
108,57
108,95
108,16
108,9
108,97
108,44
109,152
109,5
109,84
109,12
109,7
109,106
109,112
109,125
109,130
109,62
110,63
110,107
110,82
110,21
110,47
110,2
110,24
